ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
29,plts_lisded,1,solar,PLN,0.0,0.58,-0.58,0.0,0.0,0.0,0,1,0,1
30,pltmg_masela,1,gas,PLIN,0.0,20.0,-20.0,0.0,0.0,0.0,0,0,0,1
31,plts_saparua_2,1,solar,PLN,0.0,5.0,-5.0,0.0,0.0,0.0,0,1,0,1
32,pltmg_saumlaki,1,gas,PLN,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,0,1
33,pltbio_saumlaki_2,1,biomass,IPP,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,0,1
34,pltmg_seram_2,1,gas,PLN,0.0,20.0,-20.0,0.0,0.0,0.0,0,0,0,1
35,pltm_nua_masohi,1,hydropower,PLN,0.0,8.8,-8.8,0.0,0.0,0.0,0,0,0,1
36,pltm_seram,1,hydropower,PLN,0.0,7.8,-7.8,0.0,0.0,0.0,0,0,0,1
37,pltm_wae_maia,1,hydropower,PLN,0.0,1.1,-1.1,0.0,0.0,0.0,0,0,0,1
38,plta_wai_tala,1,hydropower,PLN,0.0,54.0,-54.0,0.0,0.0,0.0,0,0,0,1
39,pltbio_seram,1,biomass,IPP,0.0,6.0,-6.0,0.0,0.0,0.0,0,0,0,1
40,pltmg_seram_utara,1,gas,PLN,0.0,20.0,-20.0,0.0,0.0,0.0,0,0,0,1
41,pltbio_langgur_2,1,biomass,IPP,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,0,1
42,maluku_solar_potential_ruen,1,solar,,65.178,2020.0,-1954.8220000000001,27.385714285714286,87.58947899999987,33.452932639241595,0,1,0,1
43,maluku_wind_potential_ruen,1,wind,,0.0,3188.0,-3188.0,0.0,0.0,0.0,0,1,0,1
44,maluku_geothermal_potential_ruen,1,geothermal,,0.0,220.0,-220.0,0.0,0.0,0.0,0,0,0,1
45,maluku_hydropower_potential_ruen,1,hydropower,,0.0,430.0,-430.0,0.0,0.0,0.0,0,0,0,1
46,maluku_hydropower_mini_potential_ruen,1,hydropower,,0.0,190.0,-190.0,0.0,0.0,0.0,0,0,0,1
47,maluku_biomass_potential_ruen,1,biomass,,0.0,23.6,-23.6,0.0,0.0,0.0,0,0,0,1
48,maluku_biogas_potential_ruen,1,biogas,,0.0,9.0,-9.0,0.0,0.0,0.0,0,0,0,1
49,gas_candidate_1,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
50,gas_candidate_2,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
51,gas_candidate_3,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
52,gas_candidate_4,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
53,ccgt_candidate_1,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
54,ccgt_candidate_2,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
55,ccgt_candidate_3,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
56,ccgt_candidate_4,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,0,1
57,diesel_candidate_1,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,0,1
58,diesel_candidate_2,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,0,1
59,diesel_candidate_3,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,0,1
60,diesel_candidate_4,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,0,1
61,battery_candidate,1,battery,,0.0,100.0,-100.0,0.0,0.0,0.0,1,0,0,1
62,gas_candidate_1,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
63,gas_candidate_2,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
64,gas_candidate_3,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
65,gas_candidate_4,1,gas,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
66,ccgt_candidate_1,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
67,ccgt_candidate_2,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
68,ccgt_candidate_3,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
69,ccgt_candidate_4,1,ccgt,,0.0,250.0,-250.0,0.0,0.0,0.0,0,0,1,1
70,diesel_candidate_1,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,1,1
71,diesel_candidate_2,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,1,1
72,diesel_candidate_3,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,1,1
73,diesel_candidate_4,1,diesel,,0.0,50.0,-50.0,0.0,0.0,0.0,0,0,1,1
